geometry,Name,Description
"{""type"":""Polygon"",""coordinates"":[[[43.21952594434806,35.52896109760684,0],[43.21895963843335,35.530066061695926,0],[43.216286315763455,35.52946590398196,0],[43.2119588492741,35.528628220171356,0],[43.212786960882525,35.52718678681432,0],[43.21952594434806,35.52896109760684,0]]]}",FAT37-FTK0217,
"{""type"":""Polygon"",""coordinates"":[[[43.31505827614313,35.439690222991615,0],[43.31150019228809,35.43960020454785,0],[43.31150019228809,35.43966512989296,0],[43.3093096989483,35.439476081844745,0],[43.30917511562054,35.4407547309222,0],[43.31108528223107,35.440509253025596,0],[43.313322187598914,35.440553141555554,0],[43.31423334544418,35.44047362708395,0],[43.314813933350266,35.4404411645206,0],[43.31505827614313,35.439690222991615,0]]]}",FAT18-FTK0346,
"{""type"":""Polygon"",""coordinates"":[[[43.298422337472836,35.451932675743464,0],[43.29883796133571,35.45102761438773,0],[43.29887227216096,35.45099954189433,0],[43.299093416152644,35.450580209022256,0],[43.299184188754296,35.45037882787361,0],[43.298546002531324,35.45025386628648,0],[43.2979599734812,35.45166327934853,0],[43.298422337472836,35.451932675743464,0]]]}",FAT2-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.297045878665244,35.452061033049134,0],[43.2972158720774,35.45206451335747,0],[43.29727500914381,35.45206547349174,0],[43.298219754893196,35.45236724364622,0],[43.298422337472836,35.451932675743464,0],[43.297362963417605,35.451315431415374,0],[43.297045878665244,35.452061033049134,0]]]}",FAT47-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.297362963417605,35.451315431415374,0],[43.29694742333359,35.451073316971765,0],[43.2967109515845,35.45159949854689,0],[43.29643141753179,35.45156100340354,0],[43.29639721399287,35.45168107965076,0],[43.29551397662779,35.4517573036002,0],[43.295478764963654,35.45151508227517,0],[43.294945705252736,35.45159783690802,0],[43.29286709082575,35.45119974773965,0],[43.29267695814349,35.45220410837873,0],[43.29366755390554,35.452334544913924,0],[43.29376736721541,35.452239410352945,0],[43.2939039407453,35.45220140060634,0],[43.29393126699232,35.45217658479375,0],[43.29496346541785,35.45212498508264,0],[43.29636719202085,35.45205381997992,0],[43.296428772691705,35.45205173421331,0],[43.297045878665244,35.452061033049134,0],[43.297362963417605,35.451315431415374,0]]]}",FAT46-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29267695814349,35.45220410837873,0],[43.29286709082575,35.45119974773965,0],[43.29386893907658,35.451391618310645,0],[43.29390526246679,35.450168167237344,0],[43.29336811397595,35.4502291079089,0],[43.29272868495962,35.450271216649014,0],[43.292196413481925,35.45213539265639,0],[43.29267695814349,35.45220410837873,0]]]}",FAT45-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29386893907658,35.451391618310645,0],[43.294945705252736,35.45159783690802,0],[43.295478764963654,35.45151508227517,0],[43.29551397662779,35.4517573036002,0],[43.29635159619119,35.45168107965088,0],[43.29639721399287,35.45168107965076,0],[43.296412809822534,35.4515906238387,0],[43.29643141753179,35.45156100340354,0],[43.2967109515845,35.45159949854689,0],[43.29694742333359,35.451073316971765,0],[43.296572705387064,35.450854987547906,0],[43.29574534801522,35.4503615468111,0],[43.29598545957229,35.450306557654066,0],[43.29590282619243,35.44997489588524,0],[43.295314525252174,35.449991231358226,0],[43.29508491928476,35.45000962945924,0],[43.29489519000552,35.4500337560706,0],[43.29460993191305,35.450070030446206,0],[43.294368196553215,35.45011993710114,0],[43.29390526246679,35.450168167237344,0],[43.29386893907658,35.451391618310645,0]]]}",FAT44-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.2979599734812,35.45166327934853,0],[43.29838094738305,35.45065063228128,0],[43.29771060420542,35.45055059719697,0],[43.29778936110764,35.45004792822944,0],[43.29744082770611,35.450007303537895,0],[43.29739579156339,35.449983559155214,0],[43.29737663209592,35.449730041359466,0],[43.29630675818079,35.44994526380888,0],[43.29590282619243,35.44997489588524,0],[43.29598545957229,35.450306557654066,0],[43.29574534801522,35.4503615468111,0],[43.29574577131465,35.450373174383444,0],[43.2979599734812,35.45166327934853,0]]]}",FAT43-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.297708215340045,35.44864271424061,0],[43.297717014694044,35.449007443444906,0],[43.297447515142686,35.44901278915129,0],[43.29743121749977,35.449045384437134,0],[43.2973969066745,35.449075016513504,0],[43.29730957002837,35.449115565670624,0],[43.2972846167009,35.44916547232556,0],[43.29741250250417,35.44969417095127,0],[43.29742090963176,35.44973277062774,0],[43.29744082770611,35.450007303537895,0],[43.29778936110764,35.45004792822944,0],[43.29771060420542,35.45055059719697,0],[43.29838094738305,35.45065063228128,0],[43.298546002531324,35.45025386628648,0],[43.299184188754296,35.45037882787361,0],[43.299230976243294,35.45024158457253,0],[43.29930895539163,35.45012929459893,0],[43.29849362329336,35.44996124285913,0],[43.29850407358575,35.44992490426097,0],[43.29863792470683,35.44877547227751,0],[43.297708215340045,35.44864271424061,0]]]}",FAT42-FTK0329,
"{""type"":""Polygon"",""coordinates"":[[[43.29850407358575,35.44992490426097,0],[43.29931948257665,35.45009849283536,0],[43.29934755507005,35.450045467014505,0],[43.29946608337552,35.44998932202769,0],[43.299627012843594,35.449958447156675,0],[43.29971561665018,35.4499331770409,0],[43.29996826909078,35.449515208805835,0],[43.300011937413856,35.449484017146496,0],[43.300089916562186,35.4494840171465,0],[43.300171014876454,35.4495214471377,0],[43.300277066518184,35.449549519631105,0],[43.30042990564892,35.44961190294977,0],[43.300473573971985,35.449427872159696,0],[43.300532838124724,35.4488944947851,0],[43.30057572665633,35.44842584010361,0],[43.30060145977527,35.448308871381116,0],[43.30065253611743,35.448262473787864,0],[43.30064746747279,35.44825155670709,0],[43.30058820332006,35.448200480364925,0],[43.3005230907312,35.44818527443101,0],[43.30016166753085,35.448172499113795,0],[43.30009856713644,35.449325895460746,0],[43.29969223469425,35.44917383616382,0],[43.29936120142172,35.44887875274257,0],[43.29863792470683,35.44877547227751,0],[43.29850407358575,35.44992490426097,0]]]}",FAT41-FTK0329,
